Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio
2/29/16,@ncph,NCPH,"RT @JasonSteinhauer: If you love history, @UMassAmherst is where to be this week #history #publichistory #histcomm @ncph @AHAhistorians htt…",704400161670307840,Twitter Web Client,5692,1937,4,0,No,3/3/10,"Indianapolis, IN","NCPH advances the field of public history, promoting professionalism among history practitioners and encouraging historians' engagement with the public."
2/29/16,@aglassofhistory,Melissa M Alexander,How do I condense 5 years of experience & research into a 15 minute #conference presentation? #thestruggleisreal #twitterstorian #histcomm,704408941950799872,Twitter Web Client,400,733,0,2,No,2/27/14,"Cincinnati, OH","Bourbon historian for @bourbonbanter, History MA student at @uofcincy, renegade #twitterstorian, journeying through history one glass at a time!"
2/29/16,@GHAUmass,Umass GHA,"RT @JasonSteinhauer: If you love history, @UMassAmherst is where to be this week #history #publichistory #histcomm @ncph @AHAhistorians htt…",704468856140595200,Twitter Web Client,68,100,4,0,No,5/28/15,"Amherst, MA","The Graduate History Association is dedicated to building community, facilitating academic progress and offering profesional support to our members."
2/29/16,@GHAUmass,Umass GHA,"RT @MarlaAtUmass: Also, the Fri #histcomm event is being taped by local public radio & will be on the website. @Kristine_E_Hunt @nicolebelo…",704469041004548099,Twitter Web Client,68,100,2,0,No,5/28/15,"Amherst, MA","The Graduate History Association is dedicated to building community, facilitating academic progress and offering profesional support to our members."
2/29/16,@GHAUmass,Umass GHA,RT @JasonSteinhauer: THIS WEEK we host the first-ever public conversation on history communication. Join us: https://t.co/0GN9MBn6uI #histc…,704469187683549184,Twitter Web Client,68,100,4,0,No,5/28/15,"Amherst, MA","The Graduate History Association is dedicated to building community, facilitating academic progress and offering profesional support to our members."
2/29/16,@justinokc,Justin E. Burch,"RT @JasonSteinhauer: If you love history, @UMassAmherst is where to be this week #history #publichistory #histcomm @ncph @AHAhistorians htt…",704469955639640064,Twitter for iPhone,444,1740,4,0,No,10/24/12,"The Pioneer Valley, MA","Native of the Southern Plains. Chickasaw. Cold War & US IR Historian. Star Trek Fan. Bad Twitterer. Ph.D. Student, The University of Massachusetts, Amherst"
2/29/16,@justinokc,Justin E. Burch,"RT @MarlaAtUmass: Also, the Fri #histcomm event is being taped by local public radio & will be on the website. @Kristine_E_Hunt @nicolebelo…",704469976258842624,Twitter for iPhone,444,1740,2,0,No,10/24/12,"The Pioneer Valley, MA","Native of the Southern Plains. Chickasaw. Cold War & US IR Historian. Star Trek Fan. Bad Twitterer. Ph.D. Student, The University of Massachusetts, Amherst"
2/29/16,@justinokc,Justin E. Burch,RT @JasonSteinhauer: THIS WEEK we host the first-ever public conversation on history communication. Join us: https://t.co/0GN9MBn6uI #histc…,704469993983967232,Twitter for iPhone,444,1740,4,0,No,10/24/12,"The Pioneer Valley, MA","Native of the Southern Plains. Chickasaw. Cold War & US IR Historian. Star Trek Fan. Bad Twitterer. Ph.D. Student, The University of Massachusetts, Amherst"
3/1/16,@AdamMatthewGrp,Adam Matthew,Take a look at how we choose to digitise objects with examples from the @V_and_A https://t.co/JLgWrKt9L2 #histcomm https://t.co/kX3b8qCXEc,704651237136994304,Hootsuite,799,982,0,3,No,1/12/11,"Marlborough, England","Publishing unique, award-winning primary source collections from libraries and archives around the world since 1990."
3/1/16,@AmandaMoniz1,Amanda Moniz,"Looking forward to convos w/ @JasonSteinhauer, @MarlaAtUmass & others at the #HistComm summit later this week! https://t.co/suY5UGua8k",704679767363227648,Twitter Web Client,622,607,2,3,No,8/11/11,,"Asst director of the National History Center of the American Historical Association. Early American historian, of humanitarianism & of food. Former pastry chef."
3/1/16,@JasonSteinhauer,Jason Steinhauer,"RT @AmandaMoniz1: Looking forward to convos w/ @JasonSteinhauer, @MarlaAtUmass & others at the #HistComm summit later this week! https://t…",704692901129949184,Twitter Web Client,1302,1315,2,0,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/1/16,@MarlaAtUmass,Marla Miller,"RT @AmandaMoniz1: Looking forward to convos w/ @JasonSteinhauer, @MarlaAtUmass & others at the #HistComm summit later this week! https://t…",704700250448068608,Twitter Web Client,1993,1647,2,0,No,11/8/09,,"A #twitterstorian interested in women, work, & #materialculture in the past; #publichistory, poetry & grad training in the present; #craft then & now."
3/1/16,@jbjhistory,Jennie Joyce,YES #histcomm #publichistory https://t.co/4NerC0fRGM,704713682190737408,Buffer,496,914,0,1,No,4/23/12,New York,"#PublicHistorian, #HistComm, #MuseumEducator. @NYUGradHistory/@williamandmary alum. Views/opinions mine, RT=/=endorsements. I aspire to be history's Bill Nye."
3/1/16,@AHAhistorians,AHA,AHA's @JimGrossmanAHA and @AmandaMoniz1 will be there! Looking forward to following #histcomm this week. https://t.co/MDASdI11KG,704783764338171905,TweetDeck,20282,499,2,5,No,9/24/09,"Washington, D.C.","Founded in 1884, the American Historical Association serves the broad field of history. Join today: http://t.co/3HberXqh"
3/1/16,@JasonSteinhauer,Jason Steinhauer,RT @AHAhistorians: AHA's @JimGrossmanAHA and @AmandaMoniz1 will be there! Looking forward to following #histcomm this week. https://t.co/MD…,704784250910937088,Twitter Web Client,1302,1315,2,0,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/2/16,@HistoryCtr,National History Ctr,RT @AHAhistorians: AHA's @JimGrossmanAHA and @AmandaMoniz1 will be there! Looking forward to following #histcomm this week. https://t.co/MD…,705037287961337856,TweetDeck,1298,338,2,0,No,12/5/12,"Washington, D.C.","The NHC is dedicated to the study and teaching of history and the advancement of historical knowledge in academia, business, government, journalism, and more."
3/2/16,@UMassHistory,UMass History Dept.,History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t.co/ec4xP8UEDi,705109317905752066,Twitter Web Client,722,296,8,9,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
3/2/16,@benoitkate,Katie Benoit,"Looking fwd to #histcomm convos @ UMass - couldn't convince friends this'd be a fun way to spend Fri nite, but it is https://t.co/M6ySpdFKI4",705111444358979585,Twitter for iPhone,388,230,0,1,No,6/19/11,Massachusetts,"I like Sundays, history, and new media."
3/2/16,@juliegpeterson,Julie Peterson,#WIR2016 Many accounts/blogs/sites that communicate history online are problematic b/c content is decontextualized& universalizing #histcomm,705147868663959556,Twitter for iPhone,239,775,3,1,No,10/26/12,"Amherst, MA","Public History grad student UMass Amherst(@umassph) I study 20th C US, mass incarceration, prison museums. Runner, traveler, museum aficionado, reluctant foodie"
3/2/16,@GHAUmass,Umass GHA,RT @juliegpeterson: #WIR2016 Many accounts/blogs/sites that communicate history online are problematic b/c content is decontextualized& uni…,705148119290388480,Twitter for iPhone,68,100,3,0,No,5/28/15,"Amherst, MA","The Graduate History Association is dedicated to building community, facilitating academic progress and offering profesional support to our members."
3/2/16,@lizl_genealogy,Liz Loveland,RT @juliegpeterson: #WIR2016 Many accounts/blogs/sites that communicate history online are problematic b/c content is decontextualized& uni…,705148171991670784,Twitter Web Client,1547,615,3,0,No,8/8/11,"metro Boston, Massachusetts US","Independent historical/genealogical researcher.Archaeology,maps,ephemera.Writer,gardener,artist,traveler.Some interests: Histories of women,POC,early modern era"
3/2/16,@pastpunditry,Nicole Hemmer,I am so excited for this. See y’all in Amherst! #twitterstorians #histcomm https://t.co/2DfcuzWsJ5,705206403414118400,TweetDeck,890,378,1,5,No,4/15/10,"Charlottesville, VA","Historian, writer, & host of @pastpresentpod. Visiting Research Assoc, @Miller_Center. Contributing editor, @USNews. Research Assoc, @USSC, @Sydney_Uni."
3/2/16,@aglassofhistory,Melissa M Alexander,RT @juliegpeterson: #WIR2016 Many accounts/blogs/sites that communicate history online are problematic b/c content is decontextualized& uni…,705206475241693184,Twitter Web Client,400,733,3,0,No,2/27/14,"Cincinnati, OH","Bourbon historian for @bourbonbanter, History MA student at @uofcincy, renegade #twitterstorian, journeying through history one glass at a time!"
3/2/16,@aglassofhistory,Melissa M Alexander,"RT @JasonSteinhauer: If you love history, @UMassAmherst is where to be this week #history #publichistory #histcomm @ncph @AHAhistorians htt…",705206609614643201,Twitter Web Client,400,733,4,0,No,2/27/14,"Cincinnati, OH","Bourbon historian for @bourbonbanter, History MA student at @uofcincy, renegade #twitterstorian, journeying through history one glass at a time!"
3/2/16,@History_Doctor,Taylor Stoermer,RT @UMassHistory: History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t…,705206725469720576,Twitter for iPhone,4226,2572,8,0,No,1/25/09,"Cambridge, MA & Newport, RI",@Harvard GSAS Fellow & Public History Instructor @HarvardEXT Museum Studies; @UVa @JohnsHopkins @TulaneLaw alum; Formerly @ColonialWmsburg @Brown & U.S. Senate.
3/2/16,@Miller_Center,Miller Center,We represent. Break a leg @pastpunditry & @edward_l_ayers #histcomm https://t.co/Rwrnk5eVxV,705211222409478144,Twitter for iPad,3820,1198,1,3,No,2/19/09,"Charlottesville, Va. ","Based at @UVA, the Miller Center focuses on the presidency, policy and political history."
3/2/16,@allisonhorrocks,Allison Horrocks,RT @UMassHistory: History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t…,705213908689281029,Twitter for iPhone,122,260,8,0,No,3/2/09,"Warwick, RI","PhD candidate in History @uconn . Loves house museums, desserts, and procedural dramas."
3/2/16,@JasonSteinhauer,Jason Steinhauer,RT @pastpunditry: I am so excited for this. See y’all in Amherst! #twitterstorians #histcomm https://t.co/2DfcuzWsJ5,705214346960486400,Twitter Web Client,1302,1315,1,0,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/2/16,@MichaelBoynton2,Michael Boynton,RT @Miller_Center: We represent. Break a leg @pastpunditry & @edward_l_ayers #histcomm https://t.co/Rwrnk5eVxV,705214532365324289,Twitter for iPhone,369,1960,1,0,No,7/28/12,"Virginia Beach, Virginia, USA",I am so full of questions and so lacking in answers...I am to leave Earth a better place for having lived -- that quest is never ending
3/2/16,@JasonSteinhauer,Jason Steinhauer,Time for more #historyjobs! Great career opps in #history #publichistory #histcomm and #digitalhumanities,705219177032900609,Twitter Web Client,1302,1315,0,1,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/3/16,@UMassHistory,UMass History Dept.,New on Past@Present: MA student Ryan Dorsey on science & history communication #histcomm https://t.co/WIE8Le2rYH,705405715146530817,Twitter for Windows Phone,722,296,2,1,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
3/3/16,@mille24c,Chelsea R. Miller,RT @UMassHistory: New on Past@Present: MA student Ryan Dorsey on science & history communication #histcomm https://t.co/WIE8Le2rYH,705406981519986688,Twitter Web Client,208,297,2,0,No,2/20/09,"Amherst, MA","@mtholyoke '14. @UMassHistory MA Candidate and Communications Assistant. Public history, global history, art, and social justice."
3/3/16,@JohnFea1,John Fea,Do you know about the History Relevance Campaign? You should. https://t.co/fxukOALhkg @AASLH #twitterstorians #histcomm @ncph @samwineburg,705411686061252608,Twitter Web Client,2903,1628,2,6,No,4/10/12,,History professor and author at Messiah College. Those of us trying to bring good historical content to Twitter prefer retweets over favorites.
3/3/16,@juliegpeterson,Julie Peterson,RT @UMassHistory: New on Past@Present: MA student Ryan Dorsey on science & history communication #histcomm https://t.co/WIE8Le2rYH,705413509266477056,Twitter for iPhone,239,775,2,0,No,10/26/12,"Amherst, MA","Public History grad student UMass Amherst(@umassph) I study 20th C US, mass incarceration, prison museums. Runner, traveler, museum aficionado, reluctant foodie"
3/3/16,@umassph,UMass Public History,Excited for today's arrival of #histcomm summit participants in anticipation of tomorrow's public event: https://t.co/wLbIRDmhJk,705430231612592128,Twitter Web Client,693,242,2,2,No,3/5/10,"Amherst, MA","Since 1986, we've provided a link between the University and the Commonwealth's variety of institutions that preserve and communicate history to the public."
3/3/16,@erfagen,Erica Fagen,RT @UMassHistory: History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t…,705430458981617665,Twitter for iPhone,1056,2055,8,0,No,12/12/10,Montréal,"PhD Candidate @UMassHistory researching modern Europe, Holocaust memory, photography, and digital history. Traveler, Habs fan."
3/3/16,@sheishistoric,Emily Esten,RT @umassph: Excited for today's arrival of #histcomm summit participants in anticipation of tomorrow's public event: https://t.co/wLbIRDmh…,705434308065017856,Twitter for iPhone,405,882,2,0,No,9/12/13,UMass Amherst,"History/DH Major. Incurable reader. Proud travel lover. Constantly in search of numen. There's a million things I haven't done, but just you wait."
3/3/16,@JasonSteinhauer,Jason Steinhauer,RT @UMassHistory: History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t…,705441596167299072,Twitter Web Client,1302,1315,8,0,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/3/16,@JasonSteinhauer,Jason Steinhauer,RT @umassph: Excited for today's arrival of #histcomm summit participants in anticipation of tomorrow's public event: https://t.co/wLbIRDmh…,705441747527192576,Twitter Web Client,1302,1315,2,0,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/3/16,@jdichtl,John Dichtl,RT @UMassHistory: History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t…,705447876239818752,Twitter for iPhone,419,101,8,0,No,5/12/11,"Indianapolis, IN",President and CEO of the American Association for State and Local History
3/3/16,@historycampaign,History Relevance,Can't make it to @UMassHistory Friday? Join the conversation on Twitter at 7pm on 3/4! #histcomm #historyrelevance https://t.co/mMnQzSwplE,705450605561647104,Twitter for iPhone,110,59,3,1,No,11/3/15,,The History Relevance Campaign is a diverse group of history professionals working to make history a necessity.
3/3/16,@ncph,NCPH,RT @JohnFea1: Do you know about the History Relevance Campaign? You should. https://t.co/fxukOALhkg @AASLH #twitterstorians #histcomm @ncp…,705461244191449089,Twitter Web Client,5692,1937,2,0,No,3/3/10,"Indianapolis, IN","NCPH advances the field of public history, promoting professionalism among history practitioners and encouraging historians' engagement with the public."
3/3/16,@ASUPublicHist,ASU Public History,RT @JohnFea1: Do you know about the History Relevance Campaign? You should. https://t.co/fxukOALhkg @AASLH #twitterstorians #histcomm @ncp…,705463336805146624,Twitter for iPhone,614,787,2,0,No,8/22/13,"Tempe, AZ",Public History at Arizona State University.
3/3/16,@UMassHistory,UMass History Dept.,"TOMORROW: #histcomm in the 21st Century, 3/4 at 7:15pm, UMass Campus Center https://t.co/B0dH0g1B5P",705467907711479808,Twuffer,722,296,1,0,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
3/3/16,@rebekkahrubin,Rebekkah Rubin,Looking forward to this! #histcomm https://t.co/6iZ8WWQlGn,705468520948219904,Twitter for iPhone,492,1224,0,0,No,8/21/10,"Northampton, MA","Tweets about #publichistory, women's history, Victorian literature, P.G. Wodehouse, and vegan baked goods."
3/3/16,@JasonSteinhauer,Jason Steinhauer,Nice story by @diled about our program Friday night https://t.co/BT0fEXnici #histcomm @UMassHistory @umassph,705468542695706625,Twitter Web Client,1302,1315,2,4,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
3/3/16,@NicoNolden,Nico Nolden,RT @JasonSteinhauer: Nice story by @diled about our program Friday night https://t.co/BT0fEXnici #histcomm @UMassHistory @umassph,705469553690681344,Twitter for Android,660,1665,2,0,No,1/30/12,Hamburg,"Aus Archiven zurückgekehrt, um historische Darstellungen im öffentlichen Raum zu untersuchen. Unter anderem Videospiele, ihre Innovationen und deren Geschichte."
3/3/16,@NixoNARA,MK,RT @JasonSteinhauer: Nice story by @diled about our program Friday night https://t.co/BT0fEXnici #histcomm @UMassHistory @umassph,705478795168509952,Mobile Web (M5),541,402,2,0,No,12/8/10,,Former NARA Nixon Presidential Materials Project archivist
3/3/16,@NixoNARA,MK,"Been so busy, a reminder to catch up on the #histcomm tweets!",705479182109839360,Mobile Web (M5),541,402,0,0,No,12/8/10,,Former NARA Nixon Presidential Materials Project archivist
3/3/16,@UMassHistory,UMass History Dept.,Read @diled's piece about History Communication in the 21st Century #histcomm #twitterstorians #publichistory https://t.co/8Cy0CvbWUM,705484824971239424,Twitter Web Client,722,296,0,1,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
3/3/16,@UMassHistory,UMass History Dept.,How does #history play out in the #digital age? How can #historians reach a broader audience? #histcomm https://t.co/vJpInzfD3U,705485291415609349,Twitter Web Client,722,296,3,3,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
3/3/16,@History_Doctor,Taylor Stoermer,RT @UMassHistory: How does #history play out in the #digital age? How can #historians reach a broader audience? #histcomm https://t.co/vJpI…,705486286849708032,Twitter for iPhone,4226,2572,3,0,No,1/25/09,"Cambridge, MA & Newport, RI",@Harvard GSAS Fellow & Public History Instructor @HarvardEXT Museum Studies; @UVa @JohnsHopkins @TulaneLaw alum; Formerly @ColonialWmsburg @Brown & U.S. Senate.
3/3/16,@jmadelman,Joseph M. Adelman,RT @UMassHistory: How does #history play out in the #digital age? How can #historians reach a broader audience? #histcomm https://t.co/vJpI…,705486481150894081,Twitter for iPhone,2676,1258,3,0,No,1/20/10,"Framingham, MA","Historian of Atlantic world, business, media. Affiliated with @FraminghamU, @OIEAHC, @thejuntoblog. Tweets reflect my opinion alone; RTs are not endorsements."
3/3/16,@samueljredman,Samuel J. Redman,UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705506273836584960,Twitter Web Client,5623,5355,10,3,No,2/10/11,"Amherst, MA ","Historian / Explorer / Educator / Writer @UMasshistory + @umassph +@UMassCHS +@oralhistorylab. Book @BoneRoomsBook - via @Harvard_Press on March 14, 2016."
3/3/16,@yurikgama,Yuri Gama,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705507487718445058,Twitter for Android,160,527,10,0,No,3/18/15,US/BR,"Brazilian urban researcher. Investigating the history of cities, social movements, transport, and the intersection of racial segregation and social inequality."
3/3/16,@historycampaign,History Relevance,Historians can leverage content in many ways. From blogs & infographics to video + more! #historyrelevance #histcomm https://t.co/7BSlUBZIze,705508213509193729,Twitter Web Client,110,59,3,1,No,11/3/15,,The History Relevance Campaign is a diverse group of history professionals working to make history a necessity.
3/3/16,@snationknapper,Stacy Nation-Knapper,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705509698301140992,Twitter for Android,826,1135,10,0,No,2/24/11,"Usually in Rochester, NY","History PhD. Chair, Editorial Committee, Findings/Trouvailles (@champlainsoc). Assistant Director, @ASCatRIT (tweets are my own). Settler. Mom. Goofball."
3/3/16,@panthermtnichol,Panther Mountain,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705513426781507584,TweetDeck,223,575,10,0,No,9/9/12,,Caroline bravely faced war and heartbreak in 19th Century Virginia. Now available as an e-book & in paperback on Amazon: https://t.co/aomP3vAXa5
3/3/16,@historein,Rebecca Ortenberg,"In which I talk #histSTM, #histcomm, and what working at @ChemHeritage has meant to me https://t.co/1tmDndTuIT",705514632006529026,Twitter Web Client,641,753,0,2,No,8/26/10,"Philadelphia, PA","History + art communicator, wrangler of academics, pop culture enthusiast, incurable dreamer. Works (and sometimes tweets) @Chemheritage. Views my own."
3/3/16,@FLHistorians,FL Conf Historians,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705520462470766593,TweetDeck,69,28,10,0,No,1/14/14,Florida,The official Twitter page of the Florida Conference of Historians
3/3/16,@nicholsonsonia_,Sonia Nicholson,RT @historycampaign: Historians can leverage content in many ways. From blogs & infographics to video + more! #historyrelevance #histcomm h…,705522860761042944,Twitter for iPad,154,265,3,0,No,10/10/15,"Victoria, British Columbia","A passion for old (archives), new (intelligence), and all the technology in between. Archivist by profession."
3/3/16,@LifeThruTime,James Burnes,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705530781217615873,Twitter Web Client,459,430,10,0,No,6/6/11,"Norman, Oklahoma.","Paleontologist, Archaeologist, Author, Archivist, Natural Historian, Capybara rancher, and dentist to Anteaters, Sloths, and Armadillos"
3/3/16,@Sacrobosco2013,Kathleen Crowther,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705534439174983680,Twitter for iPhone,846,1041,10,0,No,5/9/13,"Norman, OK","U of Oklahoma prof interested in medieval/early modern history of the book, history of science, history of medicine, digital history"
3/3/16,@ersorpasso,.,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705534619475697668,Twitter for iPad,352,3044,10,0,No,11/3/13,,"Las cambiantes formas de la memoria, que está hecha de olvido.' (j.l. borges)"
3/3/16,@mixed_race,Mixed Race Studies,RT @samueljredman: UMass offering program on history in digital age https://t.co/HpvKpgzavD @umasshistory @umassph #HistComm,705540945563914240,Twitter for Android,2765,1693,10,0,No,7/3/12,"Maryland, USA",http://t.co/2XZOsCYuns is a non-commercial website created by Steven F. Riley that provides a gateway to scholarship about multiracialism.
3/3/16,@pastpunditry,Nicole Hemmer,Just rolled up for the #histcomm conference at UMass-Amherst & have the debate dialed up. Let’s do this. #GOPDebate,705568539407749120,TweetDeck,890,378,0,1,No,4/15/10,"Charlottesville, VA","Historian, writer, & host of @pastpresentpod. Visiting Research Assoc, @Miller_Center. Contributing editor, @USNews. Research Assoc, @USSC, @Sydney_Uni."
3/3/16,@samueljredman,Samuel J. Redman,"RT @UMassHistory: TOMORROW: #histcomm in the 21st Century, 3/4 at 7:15pm, UMass Campus Center https://t.co/B0dH0g1B5P",705575301322051584,Buffer,5623,5355,1,0,No,2/10/11,"Amherst, MA ","Historian / Explorer / Educator / Writer @UMasshistory + @umassph +@UMassCHS +@oralhistorylab. Book @BoneRoomsBook - via @Harvard_Press on March 14, 2016."
3/3/16,@sarageorgini,Sara Georgini,RT @historycampaign: Can't make it to @UMassHistory Friday? Join the conversation on Twitter at 7pm on 3/4! #histcomm #historyrelevance ht…,705588639024222209,Twitter for iPhone,957,852,3,0,No,8/2/15,"Boston, MA","Historian & Editor, The Adams Papers, @MHS1791. Views here are mine, #history for all @thejuntoblog & #USIH. #twitterstorian #editing #BU #DH"
3/3/16,@samueljredman,Samuel J. Redman,RT @UMassHistory: History Communication in the 21st Century: Fri 3/4 at 7:15pm https://t.co/B0dH0fK0eh #histcomm #twitterstorians https://t…,705613058245271552,Twitter for iPhone,5623,5355,8,0,No,2/10/11,"Amherst, MA ","Historian / Explorer / Educator / Writer @UMasshistory + @umassph +@UMassCHS +@oralhistorylab. Book @BoneRoomsBook - via @Harvard_Press on March 14, 2016."
3/4/16,@UMassHistory,UMass History Dept.,RT @historycampaign: Historians can leverage content in many ways. From blogs & infographics to video + more! #historyrelevance #histcomm h…,705724160992022528,Twitter for Windows Phone,722,296,3,0,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
